,deflator inflation - forecast,cpi inflation - forecast,deflator inflation - actual,cpi inflation - actual,nominal interest
1981-04-01,8.8416,,9.795185052102063,9.696969696969692,14.32
1981-07-01,8.934,,9.414686723838983,10.96543504171632,15.72
1981-10-01,9.3725,,8.47910481845171,8.912037037037024,15.38
1982-01-01,9.0619,,7.151280510869329,6.884875846501148,14.32
1982-04-01,8.6787,,6.434088231443891,7.182320441988943,13.98
1982-07-01,7.8029,7.8249,5.951259208497528,4.940923737916236,13.24
1982-10-01,7.5188,7.6998,5.229143422520677,3.825717321997879,9.32
1983-01-01,7.0197,6.6248,4.582926677326249,3.5902851108764455,8.62
1983-04-01,6.2378,6.0374,4.009593505934439,2.4742268041237248,8.98
1983-07-01,5.8739,5.9749,3.644264780192019,2.763561924257929,10.2
1983-10-01,5.5898,5.4994,3.3608738271950767,3.7871033776867957,9.81
1984-01-01,5.0012,4.5245,3.6256055912953666,4.892966360856277,9.9
1984-04-01,4.8237,4.7248,3.7387414020773058,4.325955734406439,10.9
1984-07-01,4.9494,4.5375,3.5609813175240923,4.2828685258964105,12.03
1984-10-01,5.5327,5.1498,3.5496545183579364,4.043392504930954,10.9
1985-01-01,4.9774,4.8121,3.5255796129526784,3.790087463556846,9.02
1985-04-01,5.3812,5.2997,3.3095220001519765,3.6644165863066513,9.14
1985-07-01,4.746,4.9494,3.0167219041880244,3.2473734479465,7.86
1985-10-01,4.4131,4.4247,2.824246275770559,3.791469194312791,8.01
1986-01-01,3.993,4.1242,2.3246344623357507,2.1535580524344455,7.73
1986-04-01,4.329,4.3497,2.0541395417264185,1.7674418604651132,6.44
1986-07-01,4.2132,4.2497,1.8590282601542718,1.757631822386685,6.27
1986-10-01,3.9744,3.8497,1.84323420344652,1.187214611872145,5.72
1987-01-01,3.3333,3.5871,1.9824186955106127,2.8414298808432603,5.78
1987-04-01,3.1524,3.4112,2.302910172087591,3.7477148080438782,6.5
1987-07-01,2.6155,3.4999,2.654200240475202,4.2727272727272725,6.68
1987-10-01,3.1115,3.6248,2.9129332809766817,4.332129963898912,7.59
1988-01-01,3.7037,3.8997,3.0648079174204534,3.832442067736186,6.99
1988-04-01,3.9182,4.3625,3.3519454670353888,3.96475770925111,7.01
1988-07-01,4.142,4.4999,3.8023146043844713,4.184829991281602,7.75
1988-10-01,3.6195,4.3749,3.8711020153317843,4.4117647058823595,8.11
1989-01-01,3.761,4.1997,4.138702460850108,4.892703862660941,9.05
1989-04-01,3.9435,4.5749,4.231713136546444,5.1694915254237195,9.36
1989-07-01,4.1838,4.975,3.7539788133452268,4.435146443514637,7.89
1989-10-01,4.3689,4.9,3.5982634830522553,4.639602319801162,7.99
1990-01-01,4.5564,4.8499,3.63380979922332,5.237315875613735,7.92
1990-04-01,4.5777,4.9123,3.69038081067381,4.673650282030639,8.4
1990-07-01,4.3205,4.65,3.8210563906112993,6.169871794871806,7.94
1990-10-01,3.9844,4.225,3.853654605528245,6.254948535233562,7.55
1991-01-01,4.0217,4.3499,3.751953311860179,4.821150855365497,6.64
1991-04-01,3.8168,4.1998,3.357196921912453,4.695919938414161,6.24
1991-07-01,4.384,4.4494,3.2786116322701675,3.396226415094339,6.31
1991-10-01,4.2649,4.5114,3.124030045316273,2.980625931445613,5.33
1992-01-01,3.4944,3.6624,2.503573239891188,3.189910979228472,4.15
1992-04-01,3.3824,3.8375,2.367838889312668,3.0147058823529305,4.3
1992-07-01,3.3528,3.7724,2.0709387347290997,2.9927007299270114,3.6
1992-10-01,3.193,3.5499,2.1670755015124277,2.966714905933454,3.3
1993-01-01,3.2498,3.3999,2.3599616168885618,3.0194104960460155,3.5
1993-04-01,3.1074,3.5249,2.3533093879011036,2.9978586723768963,3.24
1993-07-01,2.7909,3.325,2.4605116796440507,2.7639971651311157,3.47
1993-10-01,2.7066,3.2499,2.3155444917438706,2.8109627547435068,3.39
1994-01-01,2.7802,3.2125,2.2308481031199756,2.6517794836008246,3.54
1994-04-01,2.7558,3.3749,2.117187955035238,2.494802494802495,4.82
1994-07-01,3.0522,3.3,2.09599907359157,2.965517241379323,5.48
1994-10-01,2.8332,3.03,2.093260966585575,2.597402597402576,6.11
1995-01-01,2.7631,3.2,2.1592423308927744,2.7872195785180187,7.05
1995-04-01,2.8924,3.275,2.1559960074148066,3.0425963488843744,6.27
1995-07-01,3.0517,3.325,2.0742358078602807,2.54521098459477,5.59
1995-10-01,3.1029,3.425,2.0122682084185106,2.5316455696202667,5.59
1996-01-01,2.8929,3.4125,1.9495091164095424,2.8439153439153486,5.09
1996-04-01,2.9362,3.525,1.8829736746601267,2.8215223097112663,5.54
1996-07-01,2.5677,3.275,1.7153969025626825,3.0045721750489918,5.85
1996-10-01,2.3505,2.95,1.7679909319620712,3.378817413905133,5.55
1997-01-01,2.3623,2.775,1.8847159169074201,2.7652733118971096,5.61
1997-04-01,2.5023,2.8749,1.67006891260566,2.233567326100827,5.99
1997-07-01,2.505,3.0025,1.7779598525194507,2.21940393151554,5.54
1997-10-01,2.565,3.025,1.570204153706145,1.6970458830924073,5.46
1998-01-01,2.5782,3.0625,1.1166621658114995,1.3767209011263937,5.24
1998-04-01,2.423,2.9999,1.1494407761757364,1.6229712858926382,5.38
1998-07-01,2.455,2.8499,1.145816562013624,1.4267990074441794,5.36
1998-10-01,2.2968,2.6,1.0912446340452409,1.606922126081578,4.12
1999-01-01,2.2338,2.2624,1.2659073003324917,1.7283950617283939,4.51
1999-04-01,2.0483,2.4499,1.4108149154709926,1.9656019656019597,4.69
1999-07-01,2.0345,2.475,1.3357917915793438,2.629969418960254,5.03
1999-10-01,1.8525,2.3124,1.616551797124055,2.676399026763998,5.43
2000-01-01,1.5446,2.1749,1.9647919825938054,3.762135922330101,6.12
2000-04-01,1.7405,2.2,2.2135519297969086,3.7349397590361377,6.15
2000-07-01,1.8675,2.3787,2.4478682601809076,3.45649582836709,6.08
2000-10-01,1.813,2.525,2.4383258478161807,3.4360189573459543,6.01
2001-01-01,1.9881,2.4625,2.430003233107003,2.9824561403508643,4.81
2001-04-01,2.215,2.6062,2.411094117495871,3.193960511033689,3.98
2001-07-01,2.3743,2.7125,2.2143286099433723,2.5921658986175045,3.62
2001-10-01,2.2595,2.675,1.9787006913379424,1.603665521191311,2.33
2002-01-01,2.1218,2.4875,1.6413312458966933,1.3628620102214661,2.16
2002-04-01,2.0696,2.5125,1.380470112822052,1.0692177827799743,2.48
2002-07-01,2.0891,2.6,1.4700735036751844,1.516002245929271,1.96
2002-10-01,1.7377,2.1498,1.7359337030344646,2.4802705749718212,1.65
2003-01-01,1.7832,2.1999,1.9141905992248853,3.025210084033625,1.36
2003-04-01,1.9281,2.3499,1.912531101840731,1.948775055679297,1.27
2003-07-01,1.8936,2.2874,2.0006898930665873,2.378318584070782,1.12
2003-10-01,1.9253,2.1875,2.0431661726156847,2.0352035203520247,1.25
2004-01-01,1.8409,2.125,2.2548601377292865,1.7400761283306032,1.24
2004-04-01,1.7748,2.0923,2.7220386745700154,3.1676679410158393,1.43
2004-07-01,1.7226,1.8247,2.797236581477347,2.5391680172879516,2.1
