,deflator inflation - 3mo forecast,deflator inflation - 3mo actual,nominal interest - 3mo
2004-07-01,2.2301138977312007,3.0850263355906904,1.4866666666666666
2004-10-01,2.179916509931612,3.168751166697792,2.0066666666666664
2005-01-01,1.9082019848219112,2.801217719438309,2.5366666666666666
2005-04-01,2.066847335140043,3.618557175042536,2.8633333333333333
2005-07-01,2.1640700203215957,3.217023797318408,3.36
2005-10-01,2.5394919250160797,2.793567562069832,3.8266666666666667
2006-01-01,2.1226993865030686,3.3442939387478,4.3933333333333335
2006-04-01,2.3593135595427306,2.800160263544438,4.703333333333333
2006-07-01,2.371731158104051,1.4765530884937483,4.906666666666666
2006-10-01,2.455866084051994,3.933270935418154,4.903333333333333
2007-01-01,2.1416659650805414,2.5864701007545676,4.983333333333334
2007-04-01,2.2654658698762375,2.058482573319864,4.736666666666667
2007-07-01,2.0859874864050276,1.5909286884538965,4.303333333333334
2007-10-01,2.435880398671042,1.4772666273015211,3.39
2008-01-01,2.2231546736287022,2.143567692455761,2.0433333333333334
2008-04-01,2.3523226360689264,2.979040323438653,1.6266666666666667
2008-07-01,2.378847230450365,1.2503960291478045,1.4933333333333332
2008-10-01,2.006240669843695,-0.042111469058614404,0.2966666666666667
2009-01-01,1.0767234387672353,-0.5811994609164817,0.21333333333333335
2009-04-01,1.11560277020466,0.42177186359904084,0.17333333333333334
2009-07-01,1.1800341846825546,1.3524616065221373,0.15666666666666665
2009-10-01,1.46106193726796,1.0077787925550474,0.05666666666666667
2010-01-01,1.2024651078484716,1.8597053372286787,0.10666666666666665
2010-04-01,1.3926270767682603,1.1631906444451445,0.14666666666666667
2010-07-01,1.1382727054548347,2.248965932946767,0.15666666666666665
2010-10-01,1.282511210762305,2.1495819683143402,0.1366666666666667
2011-01-01,1.0753651760910365,2.627386079787808,0.12666666666666668
2011-04-01,1.9326563335114955,2.577561732807787,0.04666666666666667
2011-07-01,1.6264801391911554,0.6088094730754001,0.02333333333333333
2011-10-01,1.918748037027651,2.500430584683322,0.013333333333333334
2012-01-01,1.613636363636406,1.582762786951264,0.06666666666666667
2012-04-01,2.03022909206636,2.0538946777250544,0.08666666666666667
2012-07-01,1.898960418706075,2.0434023447243987,0.10333333333333333
2012-10-01,1.7618207429039856,1.5962357425771678,0.08666666666666667
2013-01-01,1.8661707611497214,1.1548463006358034,0.08666666666666667
2013-04-01,1.7117250428316133,1.9205173960624045,0.05000000000000001
2013-07-01,1.787346971309578,2.3509095547400882,0.03333333333333333
2013-10-01,1.6893125032090062,1.4748773374171797,0.06333333333333334
2014-01-01,1.5894577012965705,2.503523008892561,0.04666666666666667
2014-04-01,1.7382727768239903,1.8930064999661766,0.03333333333333333
2014-07-01,1.872644360402198,0.7843966586240647,0.02666666666666667
2014-10-01,1.7024023828497548,-0.3261922807556328,0.023333333333333334
2015-01-01,1.6071860183639153,2.266006068287485,0.02666666666666667
2015-04-01,1.7643564792068744,1.4474211842884444,0.02
2015-07-01,1.594735303357453,0.10654794181714777,0.04
2015-10-01,1.7068361305072166,-0.3423843264063642,0.12333333333333334
2016-01-01,1.5781247738817505,2.7528437485126567,0.2866666666666667
2016-04-01,1.6363333077863196,1.4899128363174974,0.25666666666666665
2016-07-01,1.808935446324611,2.064574464077129,0.29666666666666663
2016-10-01,1.8577523549444308,2.080209895052487,0.43
2017-01-01,2.0506711480780204,1.1372640410160173,0.59
2017-04-01,1.9549369567230634,1.9222903885480314,0.89
2017-07-01,1.873949824174037,2.690176415626677,1.0366666666666668
2017-10-01,1.8948976517004112,2.0105859001690263,1.2066666666666668
2018-01-01,2.0150238731224235,3.2732625650309544,1.5599999999999998
2018-04-01,2.0558058925476352,1.4981952732482817,1.8399999999999999
2018-07-01,2.2693529943202506,1.8467821357257996,2.0399999999999996
2018-10-01,2.2762926636310077,0.48565518481877845,2.316666666666667
2019-01-01,2.22417188898838,,2.3866666666666667
2019-04-01,2.037142857142893,,2.365
