country_code,country,gdp,labor,human_capital,physical_capital
SLV,El Salvador,52378.7734375,3.0076115131378174,2.3067257404327393,195583.46875
EST,Estonia,44876.34765625,0.6729755401611328,3.6594910621643066,219444.09375
SWZ,Eswatini,8987.3583984375,0.31253039836883545,2.1570098400115967,31638.86328125
ETH,Ethiopia,304937.21875,58.060970306396484,1.455194354057312,648750.0625
FJI,Fiji,12240.177734375,0.30824753642082214,2.7015976905822754,28567.255859375
FIN,Finland,248551.546875,2.6737053394317627,3.5044519901275635,1281196.625
FRA,France,2946958.25,28.532564163208008,3.230137348175049,17987254.0
GAB,Gabon,33658.0859375,0.6580106616020203,2.8762669563293457,128428.125
GMB,Gambia,5655.29296875,0.688571572303772,1.6768097877502441,12008.94140625
DEU,Germany,4275312.0,44.795196533203125,3.67537784576416,20907856.0
GHA,Ghana,163139.15625,13.220724105834961,2.526944875717163,421221.90625
GRC,Greece,284893.625,4.235072612762451,3.13531756401062,2565751.25
GTM,Guatemala,136605.015625,7.0933732986450195,1.9543628692626953,450848.78125
HTI,Haiti,17503.060546875,4.534677505493164,1.726601243019104,155952.03125
HND,Honduras,52902.5390625,3.833400011062622,2.4374547004699707,235830.953125
HUN,Hungary,283145.15625,4.71157693862915,3.4171385765075684,1428009.5
ISL,Iceland,17972.625,0.19233807921409607,3.2822329998016357,93710.0
IND,India,9170555.0,497.61572265625,2.1711645126342773,35324128.0
IDN,Indonesia,3137931.0,131.17068481445312,2.2881650924682617,18173848.0
IRN,Iran (Islamic Republic of),1097856.625,24.594810485839844,2.517744302749634,6824485.0
IRQ,Iraq,468582.53125,8.772139549255371,2.2889058589935303,1132113.25
IRL,Ireland,501053.59375,2.2604477405548096,3.185516834259033,1868599.375
ISR,Israel,328529.53125,4.228710174560547,3.891540050506592,1226272.125
ITA,Italy,2466327.5,25.596328735351562,3.1583850383758545,18855820.0
JAM,Jamaica,24867.32421875,1.2448999881744385,2.599545955657959,152178.21875
JPN,Japan,5036891.0,69.97669219970703,3.593987226486206,26102878.0
JOR,Jordan,108987.234375,2.459289789199829,2.9021859169006348,360493.71875
KAZ,Kazakhstan,525124.0625,8.82071304321289,3.110008716583252,1148598.75
KEN,Kenya,222738.46875,25.07402229309082,2.346707344055176,540344.8125
KWT,Kuwait,261068.53125,2.372540235519409,2.2724850177764893,967252.4375
KGZ,Kyrgyzstan,39366.7265625,2.670628070831299,3.5498313903808594,87622.6015625
LAO,Lao People's DR,54384.28515625,3.6188180446624756,1.9430067539215088,191343.484375
LVA,Latvia,56079.4453125,0.8965887427330017,3.1564202308654785,460683.34375
LSO,Lesotho,5727.3212890625,0.6667981743812561,1.6994621753692627,27976.693359375
LBR,Liberia,6212.169921875,1.9186075925827026,1.8383169174194336,25000.244140625
LTU,Lithuania,89642.1796875,1.3795286417007446,3.296741008758545,379209.5625
LUX,Luxembourg,55710.79296875,0.460662841796875,3.619642972946167,275867.21875
MDG,Madagascar,41507.4609375,13.944780349731445,1.7201874256134033,101824.8984375
MWI,Malawi,21635.06640625,7.950417995452881,2.039123058319092,24313.984375
MYS,Malaysia,822237.375,15.11832332611084,3.078611373901367,3598296.5
MDV,Maldives,10306.474609375,0.18943481147289276,2.6109776496887207,59680.171875
MLI,Mali,48087.625,6.150091648101807,1.380388617515564,72468.1875
MLT,Malta,17134.908203125,0.22019051015377045,3.163501024246216,62440.5546875
MRT,Mauritania,21162.974609375,1.1290662288665771,1.82578706741333,97626.734375
MUS,Mauritius,29758.16015625,0.5828114748001099,2.6323022842407227,97370.3125
MEX,Mexico,2390322.5,54.993595123291016,2.777052879333496,10933570.0
MNG,Mongolia,38380.40234375,1.3765348196029663,3.0554988384246826,174303.78125
MAR,Morocco,288999.75,11.522297859191895,1.9357943534851074,1531663.0
MOZ,Mozambique,37315.92578125,11.01795768737793,1.2284468412399292,116302.3359375
MMR,Myanmar,278516.3125,22.10930824279785,1.843833327293396,823445.6875
NAM,Namibia,23331.65625,0.7423070073127747,2.2514283657073975,79837.9453125
NPL,Nepal,103878.734375,15.652709007263184,1.8235771656036377,345289.0625
NLD,Netherlands,950077.9375,9.456908226013184,3.396878480911255,4745303.0
NZL,New Zealand,198604.609375,2.5060808658599854,3.407055139541626,656662.875
NIC,Nicaragua,32886.40625,2.66245698928833,2.286348819732666,134578.375
NER,Niger,28226.435546875,8.86972713470459,1.2249869108200073,130140.125
NGA,Nigeria,1001537.3125,73.02055358886719,1.9742451906204224,3203823.75
NOR,Norway,396253.875,2.8536617755889893,3.6628432273864746,1723067.375
PAK,Pakistan,1088502.5,63.085052490234375,1.770760416984558,1718255.125
PAN,Panama,126883.1875,1.9198999404907227,2.8882462978363037,524603.125
PRY,Paraguay,86788.5546875,3.3582797050476074,2.6566121578216553,288482.9375
PER,Peru,397821.03125,16.890403747558594,2.8385300636291504,1466835.0
PHL,Philippines,913426.8125,42.424800872802734,2.7148802280426025,2753356.25
POL,Poland,1211846.25,16.159107208251953,3.4577584266662598,3148161.25
PRT,Portugal,325160.03125,4.961589336395264,2.5127508640289307,2913985.5
QAT,Qatar,323141.15625,2.083951234817505,3.2594563961029053,1627417.25
KOR,Republic of Korea,2162705.25,26.798534393310547,3.765122890472412,11164506.0
MDA,Republic of Moldova,38162.60546875,1.4288779497146606,3.5806031227111816,116100.4921875
ROU,Romania,540045.75,8.680299758911133,3.273047924041748,1805810.25
RUS,Russian Federation,4161194.5,71.67063903808594,3.434407949447632,19423886.0
RWA,Rwanda,28783.21875,5.274786949157715,1.9190202951431274,50998.0703125
SAU,Saudi Arabia,1775962.375,13.74460506439209,2.713832378387451,7093385.0
SEN,Senegal,52927.8671875,6.142953872680664,1.6175360679626465,161783.9375
SRB,Serbia,120447.671875,2.9051904678344727,3.4737987518310547,621227.6875
SLE,Sierra Leone,14651.259765625,2.535529613494873,1.6451164484024048,16960.166015625
SGP,Singapore,477907.875,3.75960373878479,4.351568222045898,2148978.25
SVK,Slovakia,149921.4375,2.4688608646392822,3.8490355014801025,777340.4375
SVN,Slovenia,70868.515625,1.0468058586120605,3.5749080181121826,493944.90625
ZAF,South Africa,734094.375,18.642709732055664,2.9082024097442627,2897706.25
ESP,Spain,1886595.25,19.872013092041016,2.985405206680298,11827519.0
LKA,Sri Lanka,283395.0,8.180496215820312,2.8580374717712402,828180.3125
SDN,Sudan,181135.734375,10.32207202911377,1.6117841005325317,956525.1875
SWE,Sweden,526240.8125,5.002136707305908,3.435986280441284,2743785.0
CHE,Switzerland,646919.625,5.011204719543457,3.7026784420013428,3225664.25
SYR,Syrian Arab Republic,123085.0078125,4.760934829711914,2.614711046218872,407660.3125
TWN,Taiwan,1103379.75,11.5,3.3576505184173584,4258739.5
TJK,Tajikistan,36293.75,2.6825780868530273,3.03216814994812,357036.71875
