date,1-year inflation forecast,1-year actual inflation,1-year nominal interest rate
1980-10-01,8.934,8.480533114245281,13.840000000000002
1981-01-01,9.3725,7.151116250111178,14.12
1981-04-01,9.0619,6.434380655430294,15.126666666666665
1981-07-01,8.6787,5.949578393185817,16.319999999999997
1981-10-01,7.8029,5.227836916733275,13.546666666666667
1982-01-01,7.5188,4.5841288287540305,14.333333333333334
1982-04-01,7.0197,4.009095751218905,13.796666666666667
1982-07-01,6.2378,3.6460227043186633,11.840000000000002
1982-10-01,5.8739,3.3607229252883952,9.13
1983-01-01,5.5898,3.6232315415600125,8.86
1983-04-01,5.0012,3.7403242008233084,9.180000000000001
1983-07-01,4.8237,3.560640018709438,10.296666666666665
1983-10-01,4.9494,3.5512572533849207,9.953333333333333
1984-01-01,5.5327,3.527181510062616,10.176666666666666
1984-04-01,4.9774,3.30928422251755,11.546666666666667
1984-07-01,5.3812,3.01667356693891,11.81
1984-10-01,4.746,2.822399880454274,10.016666666666666
1985-01-01,4.4131,2.323129566262838,9.389999999999999
1985-04-01,3.993,2.0546560564570937,8.466666666666667
1985-07-01,4.329,1.8578396448731382,7.993333333333333
1985-10-01,4.2132,1.8438788671498951,7.853333333333334
1986-01-01,3.9744,1.982972108240988,7.456666666666667
1986-04-01,3.3333,2.301417226414082,6.6066666666666665
1986-07-01,3.1524,2.65612109473079,5.989999999999999
1986-10-01,2.6155,2.9128464913845464,5.796666666666667
1987-01-01,3.1115,3.0646247651458847,5.923333333333333
1987-04-01,3.7037,3.351581615589083,6.766666666666667
1987-07-01,3.9182,3.8016038016038145,7.126666666666668
1987-10-01,4.142,3.872085969321426,7.239999999999999
1988-01-01,3.6195,4.13778870792989,6.78
1988-04-01,3.761,4.232452778771312,7.3
1988-07-01,3.9435,3.753260961036786,8.003333333333332
1988-10-01,4.1838,3.5959218408450067,8.526666666666666
1989-01-01,4.3689,3.6348322956748724,9.290000000000001
1989-04-01,4.5564,3.691297101212454,8.926666666666668
1989-07-01,4.5777,3.821883364425349,8.096666666666666
1989-10-01,4.3205,3.8544552541717625,7.826666666666667
1990-01-01,3.9844,3.752748828759911,8.126666666666667
1990-04-01,4.0217,3.356603684384707,8.273333333333333
1990-07-01,3.8168,3.2780737800971904,7.826666666666667
1990-10-01,4.384,3.125145400685514,7.303333333333334
1991-01-01,4.2649,2.5034941405950084,6.436666666666667
1991-04-01,3.4944,2.3678472868098766,6.243333333333333
1991-07-01,3.3824,2.071135720661421,5.886666666666667
1991-10-01,3.3528,2.1656740660530582,4.866666666666666
1992-01-01,3.193,2.3584410914158083,4.3566666666666665
