country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Grenada,GRD,37,0.04002,0.07845,0.03159,0.1054,0.0
Guatemala,GTM,37,0.09228,0.14359,0.02876,0.1603,0.05684
Guinea-Bissau,GNB,11,0.50965,0.49247,0.04249,0.39273,0.55607
Guyana,GUY,41,0.15421,0.19009,0.01525,0.15644,0.11681
Haiti,HTI,17,0.10067,0.17025,0.01163,0.24666,0.0601
Honduras,HND,31,0.10504,0.14258,0.03393,0.20763,0.07623
"Hong Kong SAR, China",HKG,24,0.01395,0.09846,0.0361,0.06774,-9e-05
Hungary,HUN,24,0.09196,0.12682,0.01725,0.15935,0.04844
Iceland,ISL,37,0.1349,0.20662,0.02703,0.19938,0.10705
India,IND,37,0.07365,0.14146,0.0573,0.13879,0.05577
Indonesia,IDN,29,0.11676,0.17238,0.05059,0.18292,0.07973
Iraq,IRQ,10,0.10882,0.19655,0.06128,0.1491,-0.02179
Israel,ISR,34,0.28874,0.37995,0.04193,0.73918,0.24041
Jamaica,JAM,39,0.16384,0.19486,0.01118,0.23404,0.13109
Japan,JPN,54,0.02545,0.0974,0.03529,0.05171,-0.0224
Jordan,JOR,25,0.04074,0.07728,0.05011,0.09877,0.0027
Kenya,KEN,44,0.10175,0.14933,0.04148,0.1679,0.05871
"Korea, Rep.",KOR,35,0.04296,0.15476,0.06225,0.08757,0.01584
Kuwait,KWT,23,0.04259,0.10014,0.04986,0.0734,-0.0013
Kyrgyz Republic,KGZ,19,0.11296,0.18047,0.04339,0.33972,0.0783
Latvia,LVA,21,0.04862,0.15156,0.05895,0.17615,-0.01153
Lebanon,LBN,10,0.29675,0.26569,0.02893,0.1937,0.14167
Lesotho,LSO,35,0.08776,0.13516,0.03816,0.15044,0.07817
Liberia,LBR,10,0.03764,0.12998,-0.04428,0.16636,0.0
Libya,LBY,16,0.08728,0.14838,-0.01214,0.06773,0.06511
Lithuania,LTU,18,0.07048,0.16465,0.04982,0.17928,-0.02798
"Macao SAR, China",MAC,28,0.05131,0.1337,0.07529,0.07523,-0.0001
"Macedonia, FYR",MKD,21,0.03724,0.12352,0.0246,0.21735,0.00338
Madagascar,MDG,26,0.12014,0.1435,0.02148,0.35891,0.08074
Malawi,MWI,35,0.20939,0.25392,0.03465,0.31042,0.19585
Malaysia,MYS,28,0.03635,0.11826,0.05933,0.07511,0.00938
Maldives,MDV,14,0.04489,0.16714,0.06307,0.12688,0.01643
Mali,MLI,16,0.04458,0.06314,0.0233,0.14307,0.00467
