Date,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Index: 2017=100]
1982-10-01,7303.8,4605.6,1179.0,1582.8,569.4,632.9,-63.5,8351.9,65.2
1983-01-01,7400.0,4654.2,1204.8,1593.3,576.7,629.0,-52.3,8352.2,65.6
1983-04-01,7568.5,4757.1,1298.0,1609.5,576.3,672.4,-96.1,8359.1,66.3
1983-07-01,7719.7,4854.5,1364.9,1636.8,582.1,718.5,-136.4,8388.9,67.6
1983-10-01,7880.8,4927.2,1492.2,1609.7,595.2,743.4,-148.3,8434.5,68.9
1984-01-01,8034.8,4971.7,1626.0,1632.5,602.3,797.7,-195.3,8510.2,70.2
1984-04-01,8173.7,5047.1,1669.3,1669.8,616.0,828.7,-212.6,8616.8,71.1
1984-07-01,8252.5,5078.7,1695.0,1688.6,617.8,827.6,-209.8,8730.4,71.5
1984-10-01,8320.2,5137.9,1668.1,1730.3,618.9,835.0,-216.1,8846.4,71.9
1985-01-01,8400.9,5235.0,1608.3,1738.9,607.7,789.0,-181.3,8951.6,72.5
1985-04-01,8474.9,5291.8,1632.0,1777.0,600.1,825.9,-225.8,9038.2,73.0
1985-07-01,8604.2,5402.0,1612.6,1818.9,583.1,812.3,-229.3,9127.6,73.2
1985-10-01,8668.2,5421.2,1676.5,1830.7,595.7,856.0,-260.3,9209.0,73.6
1986-01-01,8749.1,5480.3,1675.8,1837.6,608.3,852.8,-244.6,9303.6,73.5
1986-04-01,8788.5,5513.4,1653.6,1870.7,609.3,858.5,-249.2,9394.6,73.3
1986-07-01,8872.7,5617.5,1609.5,1913.3,617.1,884.7,-267.6,9476.9,73.6
1986-10-01,8920.3,5655.2,1612.7,1908.3,641.6,897.5,-255.9,9545.2,74.2
1987-01-01,8986.4,5677.7,1657.9,1919.5,640.3,909.0,-268.8,9611.9,75.1
1987-04-01,9083.3,5770.6,1652.9,1937.6,671.6,949.4,-277.8,9687.6,75.5
1987-07-01,9162.0,5847.3,1644.0,1943.6,697.5,970.3,-272.8,9759.4,76.1
1987-10-01,9319.3,5863.5,1761.2,1965.1,729.7,1000.2,-270.6,9826.4,76.8
1988-01-01,9367.6,5967.4,1677.6,1951.5,773.1,1002.1,-228.9,9920.4,76.9
1988-04-01,9490.6,6019.3,1708.9,1957.4,803.6,998.6,-195.0,9990.1,78.0
1988-07-01,9546.1,6075.0,1702.2,1948.3,819.6,999.0,-179.4,10065.2,78.2
1988-10-01,9673.4,6153.1,1724.8,1988.5,836.0,1028.9,-192.9,10136.0,79.1
1989-01-01,9771.7,6188.2,1782.8,1979.7,860.3,1039.3,-179.0,10209.9,79.9
1989-04-01,9846.3,6234.6,1756.2,2010.2,889.9,1044.5,-154.7,10295.7,80.2
1989-07-01,9919.3,6286.3,1735.5,2028.3,887.1,1017.9,-130.8,10371.9,80.4
1989-10-01,9938.8,6318.4,1722.1,2041.5,891.3,1034.4,-143.1,10440.2,80.4
1990-01-01,10047.4,6395.1,1729.4,2074.3,920.8,1072.3,-151.5,10502.7,80.6
1990-04-01,10083.8,6401.2,1716.8,2082.3,923.7,1040.1,-116.5,10564.9,80.3
1990-07-01,10090.6,6453.0,1678.9,2084.5,931.3,1057.0,-125.7,10621.7,79.9
1990-10-01,9998.7,6440.6,1577.6,2112.2,946.1,1077.8,-131.7,10667.0,79.5
1991-01-01,9952.0,6387.5,1524.6,2117.6,945.2,1022.9,-77.7,10685.4,78.7
1991-04-01,10029.6,6428.3,1516.7,2122.5,967.0,1005.0,-38.0,10690.0,78.2
1991-07-01,10080.1,6453.7,1539.0,2121.7,975.5,1009.8,-34.2,10692.4,78.1
1991-10-01,10115.4,6458.9,1580.4,2113.3,993.4,1030.6,-37.2,10700.2,78.0
1992-01-01,10236.5,6596.4,1539.3,2133.8,1005.9,1039.0,-33.0,10718.2,77.6
1992-04-01,10347.4,6645.3,1620.0,2134.5,1001.3,1053.7,-52.4,10725.2,77.9
1992-07-01,10449.6,6726.5,1629.8,2154.6,1017.4,1078.7,-61.2,10752.2,78.0
1992-10-01,10558.7,6807.3,1672.1,2153.8,1013.7,1088.2,-74.5,10780.6,78.5
1993-01-01,10576.3,6835.9,1703.4,2124.6,1011.5,1099.1,-87.5,10818.7,79.2
1993-04-01,10637.8,6903.3,1709.9,2123.3,1020.3,1119.1,-98.7,10863.2,80.1
1993-07-01,10688.6,6969.1,1702.0,2123.7,1010.9,1117.1,-106.2,10907.8,80.6
1993-10-01,10834.0,7032.4,1781.2,2133.8,1037.4,1150.9,-113.5,10948.8,81.3
1994-01-01,10939.1,7104.3,1847.4,2111.3,1047.3,1171.2,-123.9,11008.2,81.8
1994-04-01,11087.4,7165.0,1935.3,2125.7,1081.6,1220.2,-138.6,11082.0,83.2
1994-07-01,11152.1,7230.0,1904.2,2165.3,1121.0,1268.3,-147.4,11175.2,84.1
1994-10-01,11280.0,7302.9,1978.4,2152.9,1147.8,1302.0,-154.2,11257.4,84.5
1995-01-01,11319.9,7317.2,1997.8,2163.4,1176.1,1334.6,-158.5,11355.2,84.9
1995-04-01,11353.7,7388.8,1952.9,2175.9,1196.4,1360.4,-164.0,11454.4,84.8
1995-07-01,11450.3,7449.6,1942.2,2169.4,1239.0,1350.0,-110.9,11538.9,85.8
1995-10-01,11528.1,7498.4,1980.2,2152.9,1245.0,1348.5,-103.5,11617.7,86.0
1996-01-01,11614.5,7573.2,2000.6,2171.7,1251.6,1382.7,-131.1,11703.3,86.1
1996-04-01,11808.1,7674.0,2085.0,2186.8,1262.8,1400.5,-137.8,11791.0,86.9
1996-07-01,11914.0,7728.1,2160.2,2193.0,1259.4,1426.7,-167.3,11896.6,87.7
1996-10-01,12037.9,7801.2,2157.1,2209.0,1317.2,1446.7,-129.4,12017.3,88.7
