date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1973-04-01,38.902976461188366,37.55867133435235,23.127026485138686,22.614084821142793,7.379389353593941,6.506439681444329,109.06699576736906,106.41740697344648,38.52742008908434,38.526201549183725,18.223296973817217,17.877286734152804
1973-07-01,38.49831209727615,37.61562096840546,23.060704765233066,22.66716612106763,7.097350836170817,6.5242893160686775,109.23955301528623,106.13789316286112,38.93454943084633,38.711171541573535,17.949060278409465,17.904987199649884
1973-10-01,38.668000616372986,37.66960920466355,22.889463414440094,22.719578821577546,7.356430425962183,6.539874692435165,109.23025393117804,105.8574415488154,39.260391630491256,38.895863468024515,17.976658126482032,17.931652046499266
1974-01-01,38.139731565704764,37.722170902208624,22.810756984461587,22.772185721808754,6.863703547057519,6.554181634043063,108.20526034982538,105.57855391822089,39.63617925093216,39.07985570083859,17.78067891848328,17.957803861955032
1974-04-01,38.03607108189948,37.77546748349116,22.88101652314953,22.82596394183536,6.895737014513966,6.568689020998827,107.9412102139549,105.30577007432015,39.87671452166449,39.26294780323892,17.722966326577154,17.98399657002224
1974-07-01,37.48918268863948,37.8319329829714,22.812171967608826,22.881924127146146,6.512747779842292,6.585079049777086,107.0251497703907,105.0451968045449,40.11966040636692,39.44528443404922,17.527880829840395,18.010675769755178
1974-10-01,37.15764433533872,37.89417932517075,22.277667189162532,22.941121752439198,6.534995145688517,6.6052523337233,104.72989032376591,104.80450214844385,40.25839403385903,39.6273974926063,17.598140095874793,18.03812489160135
1975-01-01,36.52775062732323,37.96462159308513,22.26744530747333,23.004580260062895,5.521849078134755,6.631091678736538,100.94708535849222,104.59251245434167,40.404039150928426,39.81025076380794,17.696100276442166,18.06632234524236
1975-04-01,36.614740512104504,38.04523030462017,22.466915589789107,23.07291296980936,5.392532317661011,6.66447613329827,99.54477224020978,104.41795435157721,40.29690108915329,39.99522082921234,17.916912027846983,18.094967200099862
1975-07-01,37.0303101183867,38.137079885762084,22.67948936934508,23.14627178494773,5.74337766602052,6.706575934416344,99.88193218761911,104.28721719629456,40.122919361769014,40.18408172958723,18.107885211409585,18.12352211753927
1975-10-01,37.34470596612362,38.24034791047215,22.812194523186086,23.224426897007604,5.855245024782811,6.7577250161328335,101.10508081139598,104.20359466753763,40.07355735690773,40.37883093285173,18.12552598498514,18.151334187463597
1976-01-01,38.00264499671697,38.35451722193789,23.169316618584,23.306851102222126,6.359314714419748,6.817637998513864,102.2801059933022,104.16762023056718,40.05962944372086,40.58146698306683,18.309075478254744,18.177736756558968
1976-04-01,38.110298842111824,38.47850312030662,23.239412240418556,23.392749800056386,6.631135049067428,6.8854307438814795,101.86029808317912,104.17792576008544,40.18285696239317,40.79383724591817,18.390313497133164,18.20204338232098
1976-07-01,38.13520015755731,38.61099144032089,23.424299042901605,23.481231043105,6.6364528194347425,6.959902556508245,101.77633204647654,104.23201423317278,40.3560441974137,41.01749969885112,18.384502514951098,18.223646581369334
1976-10-01,38.240749271314456,38.75042212566478,23.57401222945754,23.57129309371421,6.675370535317056,7.039648429382087,101.87242189915402,104.32597382820053,40.53999214050935,41.253662707582336,18.394779103317152,18.24205439857061
