country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
Panama,PAN,49.0,0.12446029756442645,0.029995288415118893,0.05188391110077761,high,no
Papua New Guinea,PNG,47.0,0.10845775322528328,0.07007639953698708,0.030959781150295518,middle,no
Paraguay,PRY,63.0,0.19002591648372524,0.10725644558743652,0.044401648659158965,middle,no
Peru,PER,62.0,0.49327701632268717,0.4149154395242982,0.034463152081626536,middle,no
Philippines,PHL,63.0,0.15337811163790516,0.07904614872743676,0.04224658858047636,middle,no
Poland,POL,33.0,0.1571767902507386,0.08859364775006151,0.03737592722026006,high,yes
Qatar,QAT,23.0,0.15723340860428503,0.04478516993690662,0.07661764105686353,high,no
Romania,ROU,33.0,0.3386295895482443,0.3254773703015388,0.021806835753583442,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10734015928356144,0.02941199171234854,middle,no
Rwanda,RWA,57.0,0.14962092644242309,0.08868140440422745,0.046383980292497906,low,no
Samoa,WSM,41.0,0.09073418059278016,0.050821728840298785,0.018001457790277176,middle,no
Sao Tome and Principe,STP,20.0,0.17661159163520201,0.10753834298819243,0.04195771733734355,middle,no
Saudi Arabia,SAU,50.0,0.14118958900638212,0.05742797975343894,0.04638328389252644,high,no
Senegal,SEN,61.0,0.09607044342413729,0.03933247177772281,0.03146104180342868,middle,no
Serbia,SRB,26.0,0.25109423161849564,0.1328700810351393,0.029467739458790776,middle,no
Seychelles,SYC,52.0,0.13120390456483544,0.06669614976012261,0.038859918282348804,high,no
Sierra Leone,SLE,63.0,0.11676490224627178,0.19477367716854266,0.025320196387310645,low,no
Singapore,SGP,58.0,0.11449564753635144,0.02402937543227779,0.0687313273759711,high,no
Solomon Islands,SLB,43.0,0.12653807310120913,0.08679342878388785,0.023043341158823782,middle,no
South Africa,ZAF,58.0,0.12867710882433947,0.09487194076812466,0.02484823049733942,middle,no
Sri Lanka,LKA,59.0,0.1612589340412851,0.09090643435020507,0.047658664008570994,middle,no
St. Kitts and Nevis,KNA,44.0,0.08732233131377654,0.030551431459397982,0.035593509699163306,high,no
St. Lucia,LCA,43.0,0.0767368583362329,0.03252503743461732,0.030876778883606182,middle,no
St. Vincent and the Grenadines,VCT,48.0,0.08131630422341085,0.04314994062424593,0.03428486080420745,middle,no
Sudan,SDN,61.0,0.3345170501013881,0.2737339979090694,0.027658756874998636,low,no
Suriname,SUR,56.0,0.2783615118070977,0.22986109174089786,0.015388345057454345,middle,no
Sweden,SWE,63.0,0.07915533761743054,0.04507988606631286,0.025451690505233993,high,yes
Switzerland,CHE,37.0,0.05531204332648576,0.01582234142198158,0.017624748910683552,high,yes
Syrian Arab Republic,SYR,52.0,0.16127274406519088,0.08763107656418856,0.0539806248843564,low,no
Tajikistan,TJK,25.0,0.2781959365215294,0.13317300472596139,0.07455844419564639,middle,no
Tanzania,TZA,35.0,0.19581885832106116,0.12983333674955322,0.050997231876926064,middle,no
Thailand,THA,63.0,0.12882163266089797,0.038650506044614064,0.055394179666762966,middle,no
Timor-Leste,TLS,21.0,0.18090566548957332,0.05384926191629846,0.044555477683319245,middle,no
Togo,TGO,61.0,0.11559628083253859,0.04923582863013776,0.0372622865452108,low,no
Tonga,TON,33.0,0.0983741609769182,0.04798571833802212,0.01822354131309023,middle,no
Trinidad and Tobago,TTO,63.0,0.10915947645199964,0.05996148609085217,0.029257636986982805,high,no
Tunisia,TUN,58.0,0.1215777785454295,0.060129123965356746,0.04105327675855919,middle,no
Turkiye,TUR,63.0,0.3927562878429245,0.30193986379221815,0.047075957316020656,middle,yes
Uganda,UGA,41.0,0.33150631416919807,0.2320521355859011,0.056049393758921484,low,no
Ukraine,UKR,31.0,0.467405611005117,0.49964495554708055,-0.020226331196015912,middle,no
United Arab Emirates,ARE,48.0,0.11850022550130479,0.03126882614772164,0.04383925351828122,high,no
United Kingdom,GBR,63.0,0.10120343182314984,0.05211695350280321,0.023045491511948013,high,yes
United States,USA,62.0,0.0752393078496909,0.03295410958655309,0.029633966327883954,high,yes
Uruguay,URY,63.0,0.37560024595478536,0.33280964448020933,0.021390947027044582,high,no
Uzbekistan,UZB,10.0,0.22975027055128727,0.1500838615007376,0.056936533466303674,middle,no
Vanuatu,VUT,44.0,0.06991989405600907,0.04204454198683383,0.02179787465940919,middle,no
Viet Nam,VNM,28.0,0.22874648996901215,0.07873625361067593,0.06423281118133373,middle,no
West Bank and Gaza,PSE,25.0,0.08361794484613072,0.03267701708727455,0.03284027916890753,middle,no
"Yemen, Rep.",YEM,24.0,0.17800114042463777,0.1477017125925646,0.04008208467572438,low,no
Zambia,ZMB,30.0,0.24974982898489184,0.16844928751484245,0.04564348212918867,middle,no
Zimbabwe,ZWE,27.0,0.053944277290166154,-0.009568406662110895,0.013777445798113241,middle,no
