,deflator inflation - 3mo forecast,deflator inflation - 3mo actual,nominal interest - 3mo
2001-10-01,1.8148820326678639,1.2801983379785382,1.906666666666667
2002-01-01,1.470121148872483,1.4884045784003552,1.7233333333333334
2002-04-01,1.6927672671313232,1.7788055337779323,1.7166666666666668
2002-07-01,1.8034265103697322,2.158737628182675,1.6433333333333333
2002-10-01,1.9486239191788712,2.458251349933688,1.3333333333333333
2003-01-01,1.738943752683575,1.2790075426851113,1.1566666666666665
2003-04-01,1.6866826794768919,2.2100650839550413,1.04
2003-07-01,1.4889704249251068,1.891213070907146,0.93
2003-10-01,1.7683465959327904,3.4744367912013088,0.9166666666666666
2004-01-01,1.3930479024491405,3.467021360597515,0.9166666666666666
2004-04-01,1.6726437166552977,2.454339517319771,1.0766666666666667
2004-07-01,2.2301138977312007,2.794891880760574,1.4866666666666666
2004-10-01,2.179916509931612,3.6875993491116206,2.0066666666666664
2005-01-01,1.9082019848219112,2.894336902218866,2.5366666666666666
2005-04-01,2.066847335140043,3.7229395325280636,2.8633333333333333
2005-07-01,2.1640700203215957,3.0232112819076176,3.36
2005-10-01,2.5394919250160797,3.132705974473015,3.8266666666666667
2006-01-01,2.1226993865030686,3.2056386706882294,4.3933333333333335
2006-04-01,2.3593135595427306,2.781388620752982,4.703333333333333
2006-07-01,2.371731158104051,1.3960302808821585,4.906666666666666
2006-10-01,2.455866084051994,4.469599237548518,4.903333333333333
2007-01-01,2.1416659650805414,2.2285559688689838,4.983333333333334
2007-04-01,2.2654658698762375,1.3845180082848434,4.736666666666667
2007-07-01,2.0859874864050276,1.73924882818049,4.303333333333334
2007-10-01,2.435880398671042,2.2802293110638994,3.39
2008-01-01,2.2231546736287022,1.9401489095131539,2.0433333333333334
2008-04-01,2.3523226360689264,2.730193618203607,1.6266666666666667
2008-07-01,2.378847230450365,0.569457908178453,1.4933333333333332
2008-10-01,2.006240669843695,0.9886084971520102,0.2966666666666667
2009-01-01,1.0767234387672353,-0.6681438062339535,0.21333333333333335
2009-04-01,1.11560277020466,-0.08810219890647265,0.17333333333333334
2009-07-01,1.1800341846825546,1.1837522761380312,0.15666666666666665
2009-10-01,1.46106193726796,1.4071397881877534,0.05666666666666667
2010-01-01,1.2024651078484716,1.770810376347683,0.10666666666666665
2010-04-01,1.3926270767682603,1.8221645467616916,0.14666666666666667
2010-07-01,1.1382727054548347,2.0454567677420012,0.15666666666666665
2010-10-01,1.282511210762305,1.7617034760538304,0.1366666666666667
2011-01-01,1.0753651760910365,2.9035273248991778,0.12666666666666668
2011-04-01,1.9326563335114955,2.408749117360268,0.04666666666666667
2011-07-01,1.6264801391911554,0.573946218798385,0.02333333333333333
2011-10-01,1.918748037027651,2.1076624108593975,0.013333333333333334
2012-01-01,1.613636363636406,1.8222744007455234,0.06666666666666667
2012-04-01,2.03022909206636,2.1477735242899207,0.08666666666666667
2012-07-01,1.898960418706075,1.615567620459562,0.10333333333333333
2012-10-01,1.7618207429039856,1.6128294373187482,0.08666666666666667
2013-01-01,1.8661707611497214,0.9765904957163066,0.08666666666666667
2013-04-01,1.7117250428316133,1.8900531537694003,0.05000000000000001
2013-07-01,1.787346971309578,1.7176123301022388,0.03333333333333333
2013-10-01,1.6893125032090062,1.558457986801236,0.06333333333333334
2014-01-01,1.5894577012965705,2.204839042778835,0.04666666666666667
2014-04-01,1.7382727768239903,1.609926363495726,0.03333333333333333
2014-07-01,1.872644360402198,0.08436071572821956,0.02666666666666667
2014-10-01,1.7024023828497548,0.11734184145829028,0.023333333333333334
2015-01-01,1.6071860183639153,2.102640907338232,0.02666666666666667
2015-04-01,1.7643564792068744,1.2926552990284066,0.02
2015-07-01,1.594735303357453,0.9332096918356233,0.04
2015-10-01,1.7068361305072166,,0.12333333333333334
2016-01-01,1.5781247738817505,,0.2866666666666667
